,Full_Reviews,Ratings
16,It's best value for money laptop. Don't think about HP i3 11th because after 1 year HP will be slow definitely but not Vivobook. Battery is very good. Performance is awesome. Display is more awesome. Every thing is awesome in the budget range . You can buy it blindly. Its quite better than ryzen 5 3500u because it's a latest processor. I love it so much.,5
17,"This is good product but speakar quality is not good
And battry life is normal and build quality is very
Good and this is not gaming laptop but I am impressed
This laptop . thanks Flipkart",4
18,"*Updated after 7 days of use
Received this yesterday. Got it for 37.5k
Nice performance in mid range. Seems very delicate. You have to use with care. If you are ruff and tuff user, should avoid. Very slim and light weight.

Battery is good. 4 to 5 hours
Cam is average.
Sound is good. Not very loud but clear.
Keyboard look is nice but build quality is delicate. Use keyboard guard.
Finger print scanner excellent.
Speed excellent for day to day usage. Played morden combat 5 and worked good.

Val...",5
19,"Very good laptop aaj he mne buy kia h display quality is also very good
sould quality is okh
fingerprint sensor is very good
its very great laptop in budget
i think vivobook just work on lil bit speaker
other all is good
speaker is good not bad",5
20,"It's just amazing! Let me get the details here:

• At this price it will be the best buy for office/casual use, average gaming (Haven't played any high res games yet).
• It has 1 SSD 256GB and 1 HDD of 1TB. Windows is installed in SSD so the loading time (from turned off to start) is near about 5-7 seconds.
• Usable Ram is around 5.86GB. 8GB is installed in one slot so another one is free to get another ram installed.
• It is very light. It doesn't have a CD drive. Honestly, I don't think any...",5
21,"Product is good but the fan is running continuously, its little annoying if you live in a quiet peaceful area.
Second thing I have mention is the build quality of the product. Its made of plastic, not the best one but little low in quality.
Otherwise it is a good product, good display, good performance, good battery life, soun of the speakers are also loud. I'm satisfied with this product.",4
22,"Thanks Flipkart for fast delivery in our lockdown zone.

Now I am writing review after 10 day use of laptop.

1. Better performance cause of 8gb ram and 256gb SSD, it boots up only in 7 secs. and I didn't faced any lag till now.

2. Better Battery Performance (upto 6-7 hrs ) with fast charging.

3. Screen Quality is good but it has little bit backlight bleeding issue cause of IPS Display (this is only noticeable on Black Screen).

4. Fan speeds and noise only increases when Work load increase...",4
23,Got it today. Thanks to flipkart for the fastest delivery. The design and the display of the laptop is awesome. Booting in just 5 sec after setup thanks to ssd for that. Performance is good. Battery is for about 3-4 hours but fast charging and with pre-installed microsoft office for life time. Webcam is average. It is the best laptop with both ssd and hdd with good performance and quality product around 40k.,5
24,"Very good product by hp,this laptop is very slim and powerful prosser,good battery back up, design is very good,i got this 37699 i recommend all of you this laptop,thanks flipcart, very good laptop,",5
25,"Very good It's a beast at the price of 40k
Loved it and also the cheapest ssd laptop offered by hp you won't find it anywhere else. Thank you Flipkart for quick delivery",5
26,"It's amazing! Best is this category. I just bought this item for the prime purpose to support my daughter for her online classes of class XI. After using it for 4 days my observations are as under :
1. Speedy Delivery : So thankful to Flipkart for its speedy delivery. I booked it on 21st of May by evening, got delivered on 23rd Morning. Really impressed!!!
2. Product Style, look and feel : Superb! Light weight, handy, quite presentable !!!
3. Speed and performance : With 256GB SSD, its boo...",5
27,"Over all good laptop for this money. Best option to choose this laptop is design, display and 256SSD and 1TB HDD.I like this laptop ❤",5
28,"Using it for 10 days , almost good laptop , ryzen 3 is a almost fast processor than i3.booting time almost 11 seconds after it appears password screen. Os on ssd that make processing fast also.almost value for money .",5
29,"It's been 10 days from using this laptop and I m fully satisfied with this equipment and I liked it very much this is worth of penny🥰🥰😘😘
Students and work from home workers go for it
Thank you flipkart for this 😍😍👍👍👌👌",4
30,"Overall the laptop is outstanding
My needs are some online classes and a bit gta5 in free time and this thing can handle it nicely but at lower graphics which does not make game too much laggy but it's fine.....the design is fabulous and it supports quick charging only takes 20 minutes to charge from 15% to 100%.....best processor in this range with a 256gb ssd only this laptop offers such a configurations......Hats off to HP.....wonderful product for a bit of gaming and online classes.",5
31,"Just amazing !!!
Nice experience with powerful processor... Very good battery backup (about 6 hrs).. in good price..
Just go for it !!!",5
32,It gives HDD and sdd storage drive. HDD is effective for more storage and from sdd it works smoothly. Designs is very nice. It is working without changing just because ssd. I like this and happy to have this.,5
33,I have been using this laptop for 2 months now. Its the best one available in this price range. Has a great and smooth performance as well as good battery life. Excellent for work and studies. I play cs go and it runs without any lag. Excellent product.,5
34,"Laptop is very good and his display is also Awesome
His processor which is SSD is absolutely good .
Battery is also good
But when I am starting coding I found battery backup is not good for coding purpose
And he is also lag only in coding.
I recommend laptop is very good but again I remember
He is not good for good (only for coding).
If your wish to purchase this laptop so don't worry
You can purchase laptop is better.",3
35,For work purposes it works smoothly even I played a small game and there is huge lag for work purpose and Student use its best buy,4
36,"It has a great slim look, the audio and display quality is also very good. It works really first. Great choice undoubtedly. But the battery backup is not so good.",5
37,Good leptop but battery not good very fast doun so please hp company you can work to battery performance meter over all mind blowing leptop,5
38,Ryzen 3 processer is good for daily or office use . The processor speed is more batter . You can download all nessary application in this laptop. and do your work very smoothly . You get a batter IPS display pannel . And a 256 gb ssd drive which performing very well and produce a smooth booting and run.,5
39,"Very nice

Configuration is great with nice cost
Also got 1000 discount by hdfc credit card

Deisgn is as visible here

Running speed is good",5
40,Best laptop 💻 in this Budget,5
41,Gorgeous product 😍😍,5
42,"Bang for the buck
Battery backup and display is very good.
Boots in 5 to 6 seconds.
But camera isn't that great.
Best laptop in this range with both hdd and ssd.
And thank you Flipkart for the fast delivery.",5
43,Nice display and value for money,5
44,"Looks sturdy
Perfect for professional use🙂",5
45,"It has been 10 days I purchased it , and its working really fine . Its design and built quality is good.",5
46,Absolutely loved it ❤,5
47,I'm happy with laptop,5
48,Great,4
49,Its super product & Happy with perfamance,4
50,"The display is legit awesome...because of SSD the booting time in the system is 5 seconds approx. It's very good for online meetings, surfing and light-gaming...It has lifetime MS-Office Subscription. The sound is also nice. I didn't find any cons in the product till now. But, it doesn't have backlit keyboard which is mentioned
Overall, very nice laptop",5
51,"Display are little bit good but if you see some other angle it's not see properly

Overall are good as per price it's worth it.

I recommend buy it if you noo issue on side angle problem",4
52,It's very good.... Laptop ❤it's worth to buy it,5
53,Performance is super and it has fast charger,5
54,"Good laptop
I'm writing this review after using it for a week
Fast boot up in less than 10 seconds
All things are ok but camera is not good as expected
Best choice go for it.",4
55,super laptop hp,4
56,Have faced issue of the system getting Hang couple of times in Last 1 week. Pls check before purchasing as the configuration is good in this price but the system Hang issue is a Spoiler.,3
57,It's a good deal. You get full package at much cheaper price. Only cons is dual core processor.,4
58,Its amazing 😊👍thankyou flipkart,5
59,Ok. Not bad Flipkart,5
60,Really Happy with the product totally satisfied with the laptop value for money,5
61,"The best thin and slim laptop at this range, with all features.had to cancel ASUS Vivo book while in transit after going through HP Ryzen 3 specifications..Good for home and office uses.. Mesmerising look...Brilliant performance..Only drawback is no keyboard backlight..",5
62,Fantastic🤘😝🤘,5
63,Excellent,4
64,Good,5
65,Good for light gaming and for official work,3
66,"Adding email was difficult even after trying so manu tyms..
Overall good one.. Backlit keyboard would have been jackpot",5
67,Wow superb 🤩🤩🤩,5
68,Just osm I am so happy thank you flipkart .,4
69,"Very Good for Budget Laptops in the 40k range. SSD rocks. The system boots in less than 7 seconds. HDD with 1TB is awful. As usual Ryzen 3 doesn't disappoint you.
Overall THE BEST!!!",5
70,OMG....we never expected such an awesome laptop in this price✌it is a must buy product ⭐Works fast...has a lot of storage....and very light and sleek🖤You should go ahead and buy this,5
71,super product.....amazing,5
72,Nice working,5
73,"Nice laptop under 40k
But plastic quality litte bad
Nice display & battery backup
Boot in 5 second
Overall it's worth of money",5
74,One of the best laptop with 1tb hdd and 256gb ssd. OS is installed in SSD that's why laptop speed is super fast. Just got it yesterday overall experience amazing. Will edit my review if needed after a month. Thanks Flipkart,5
75,Wow... awesome product ❤️..I loved it,5
76,Very Good Product,5
77,"Ordered HPs Ryzen 3 Dual core 3250U model and got delivered in two days.
Very good packing from Flipkart.
Fast boot up and great performance laptop for working professional especially teachers and students.Go for it guys you will never regret for purchasing this HP model laptop.",5
78,"It's ok... Gd product, first upon the 256gb SSD& 1TB HDD provide gd performance, storage&Speed boosting... But unfortunately some times this sustem is little bit lag&hang, I don't know how to happend this¦...Any way I am too happy to working on this device... Thanks Hp and Thank you Flipkart to your good services😊🙂",4
79,Very good product,5
80,Good,4
81,Good,5
82,I m loving it,4
83,Battery backup Not good as given in specification. Display quality nice. On/Off time speed is quite good. Outer body quality not good. Overall nice product in this range,4
84,Best laptop,5
85,Flipkart is always the best ❤️,5
86,Good,5
87,"Awesome laptop.... For student use... Looks very nice.... Quickly start.... Hd display.... Size is good..
Everything is perfect In this range so hurry up... And grab it ❤❤❤❤❤❤❤❤❤❤",5
88,"Display is good.
Fan noise always.
Battery backup on online zoom classes continuously 6 hours and battery also 20 %.
Performance is very good.
Sound is awesome.
Data transferred very fast 10gb approx 4 minutes.
My ratings is very low because I doubt that I received second handed laptop. Because dust on display.
Email I'd not add after try again and again.
Cortana not work probably.",2
89,Excellant product I am much happy,5
90,"Performance is perfect.
On and Off in 5 secs.
Can also make phone calls after linking with your phone.
Overall a good to go product.",5
91,"I am using it from last 5 months, it got hanged anytime and then I will not even able to shutdown my laptop and this is so annoying.
nothing works,not any key, got stuck at only one screen but this happens only sometimes.
Sometimes not able to open setting , not showing any interface in setting.
Heating problem is also there only after 30 minutes. Now Hp is only a name of trusted
Company not worthy.
1.Display- it's quite good.
2.sound - low but nice.
3.performance - not good, you have to ma...",2
92,"Initial use seems good, i bought this one for my father and it's majorly gonna be used for zoom calls and internet surfing, the quality of audio outputis good, mic reception is excellent. Thanks to the SSD it boots pretty quickly, better than going for a intel machine",5
93,Best laptop under 40k,5
94,Very good product,5
95,I am writing riview after using 10 days laptop was very awesome its good for gaming and home study pourpose and light weight laptop,5
96,"Nice perfomace
Battery backup 3to4 h
Camera is not good
Display is good




This laptop should be 40000 but i bought 42000 means Flipkart take 2000 more charge on it.",4
97,Loveable,5
98,Not bad,4
99,"Value for money.
awesome profomance..",5
100,Nice product,4
101,Good,5
102,Excellent Product and everything is working fine,5
103,"In this budget I think it is the only laptop that have 1tb hdd and 256gb hdd. So, when coming to battery it is okay for its price range. And it depends upon ur usage. For student it is best. Product Delivery is also good without any late and any damage. So. I think u can go for this produ",5
104,Good,5
105,Good Laptop For students,5
106,Go for it,4
107,Little bit Stuck for some times,3
108,it's amazing 🥰,4
109,best laptop for student & office use but update 1 to receiveed it then performance get unexpectble,4
110,This Laptop is okay for normal use at home and for students also,3
111,Worst service from Flipkart I didn't get the original charger and so when do I charge it starts to lag and it's curser doesn't work properly,1
112,Very nice laptop working fine,5
113,Nice purchase as it comes with office and has both SSD and HDD. Good for online classes,5
114,just go for it,5
115,this laptop is the best under 40k,5
116,"Little bit upper side screen fluid is showing
Why in laptop bottom made in China show",3
117,Sexy Laptop. As sexy as Hollywood actresses!!,5
118,Good laptop in budget... Thanks to flipkart for fast delivery,5
119,Good,4
120,This item most valuable,5
121,"Performance...good
Battery...good
Display ..v.good
All functions good 🙏🙏",4
122,Good Performance 👍I am highly recommended that in this budget this laptop is best to buy . 😊👍,5
123,Everything was Ok but back-up battery is not so powerful........Not more than 4 hours in online classes......But all other thing was ok......But caution is that always take a insurance before taking it.,4
124,"Hp 15s-GR0012AU (35K35PA) Laptop 😁8 GB DDR4 RAM and 1 TB HDD + 256 GB SSD storage.
its camera is not so good",4
125,Excellent product,5
126,Best product on this price range,4
127,"good laptop for study and business purpose....
m",5
128,"Value for money, design is also good.",4
129,"Super good quality,

Using smooth,

Very fast...

Value for money 💰💰💰",4
130,"It have transparent silver colour which actually looks fantastic .
Battery performance is good.
It can remains 3 or 4 hours by continuously using.
It have msoffice.
Camera is also good but not best.

And it doesn't have backlit keyboard which one must have but in this price range you get 1TB HDD+250SSD
So you have to compromise that one thing, it's keys texture isn't dark black also.
And after continuosly using it produces normal heat which any laptop generates.
Overall performance is best.
I...",4
131,"A Must Go For Product .
Highly Recommend It .
It's really really Portable , A fresh Updated Look ❤️
At This Price You're getting All you need
Talking About the Design , it's a High Quality Plastic .
The Battery Is Somehow Good .
The Screen is So Great .
The Camera Isn't that Good but Okaayeeish .",5
132,"Good properties
1. Very smooth performence
2.display is good
3.figerprint is accurate
4.1tb hdd+256ssd is best
5. Normal gaming

Bad properties
1. Battery is good not best
2.only one is bad that camera
Littrely camera is nothing good
... But overall best product in this range
I suggest you buy this",4
133,"Excellent Product. Good design and osm finish. Very fast booting hardly and glitches. Display is bright, sound🔊 quality is boom. It's a great value for money.
Thnk u flipkart for fast delivery ❤❤❤...!",5
134,Worth the price. Please go for it.,5
135,Veryy effective,5
136,The product was great but flipkart delivery was very bad,5
137,"This laptop launched in December and came to India in January. Happy with the purchase. Product was packed nicely and freshly. Web came is not so good.
Built quality is good. And rest all thing is good.",4
138,It was a very good laptop with good specs.Finger print sensor was very fast. But camera quality is very poor,4
139,"This laptop has the best display
Web Cam is not so iimpressive
And one thing I would like to say if someone is buying this laptop please keep it in mind it does not have a good battery backup this is the biggest drawback of this laptop
Recently I am doing my ""work from home"" I have to charge it every 2 hours
In compare to HP laptop I only had to charge laptop only twice a day
Battery backup is the biggest issue and for other specifications it would give 5/5",5
140,Product is too good like design and performance only problem is battery is not too good but ok,5
141,"Best Laptop, Value for money. I really loved it ❤️",5
142,It's gud but the camera is not gud....,4
143,"Speaker volume is less. It must be more.
Product is awesome , only one thing should improve, there is no backlit keyboard in this laptop.",4
144,The product is good but the built quality is very very bad 👎 I really felt it will bee good but performance is good & it 🔥heating issue sounds are better than my Expertetion😔😫😩🙁☹️😣😠😤😡,1
145,Execellent.,5
146,Product is good but the battery 🔋 backup is poor 👎👎,3
147,"Very fast and no heating issue as such. Even with 15.6 inch screen not very bulky as my previous laptop was! Nice and light laptop!
Only cons that are there is that the keys are not backlit and webcam is not good at all! Probably could have included a better webcam!",5
148,"After 2 weeks of use i felt that it is worth for the money.
Battery is good
Design is excellent
Light weight
Display is the only one factor that im not satisfied.",4
149,Bought it for a friend. Only issue she mentioned is the lack of having a backlit keyboard. Could have added that too.,4
150,Product is good but poor battery backup,3
151,"Performance good
Camera poor
Sound is too low",4
152,The laptop is amazing. With 256SSD the performance is really good. You can install all the software in SSD drive. With regards to voice quality it's good. Just not happy with the build quality as it's totally plastic body. My previous Asus laptop had an Aluminium surface so it was giving a premium look.,4
153,Awesome product,5
154,"Everything is very good like performance, speed , value for money,best laptop for student and office workers",3
155,"Super design, performance but poor camera quality",4
156,Speeker sound is not good,3
157,Good performance laptop with storage combo,5
158,I purchased this laptop for my son to attend online class. But in every meeting sound quality is so poor that I feel I wasted my money by bought this laptop. Even I have Lenovo S145 which is being used my daughter for online class. It's performance is better than Asus Vivobook 15.,1
159,Good laptop,5
160,Fully satisfied with the product,5
161,Bad product,1
162,Awesome,5
163,Overall Good performance but sound and camera has poor.,4
164,I'm very happy with my product.,5
165,"Windows License credentials/Passwords or catalog are not provided by the seller.
As regards to Lap, Keyboard letters are very obscure, not easily readable as print is not clear.
The user has to add a separate keyboard to work on it. Sound not adequate,, without ear/headphones cannot hear output sound from Lap.
Pls take steps to furnish me with License Papers urgently.",2
166,GOOD,5
167,Mouse / Pen drive ports not working,3
168,Nice,5
169,I like it,5
170,Nice,4
171,"In this price range build quality could have been much better. Configuration wise ita good. Screen size is best for kids online class and day to day activities.

Key board need to be bit more premium. Rest product is good and value for money.",4
172,"Brilliant display, amazing boot up speed, extremely fast processor and it was ready up and running in 5 mins. Must buy!!!",5
173,HP is a reliable and a trusted brand. At this price point what you get is more than enough. Should suffice. For work from home purpose and schooling educational purpose it's just fine. Go for it.,5
174,"Review Date:8July2021

First of all i purchased it on 5thJuly2021 but warranty started from 25June2021 why this?is this used laptop?
SSD is working good (Brand-Kioxia256GB)
1TB HDD Seagate

Laptop is good sad because of hp not manufactured this model in silver colour

Display is good but not IPS display (good if IPS)

Sound is good.

According to 720p Camera quality is bad

Keyboard should have been more better but they add simple one.

Battery capacity is not very good only 3672mah backup o...",3
175,"For this price range its ok but keyboard should have been given good quality. keyboard quality not good. speed and performance is good for daily use and online class good fast boot and quick shut down works nice.
Battery performance is good lasts upto 3 hours",4
176,In this price range this is a good laptop everything is perfect works very smoothly only one thing is bad that the fingerprint stay on the screen of the laptop but a nice product thanks flipkart,4
177,"Build quality is not good as expected
If u can get this below 40k than its a fine deal further more its decent one with heavy work.battery works fine. Display is good.
My opinion 3.25 out of 5",3
178,"As it was shown on the screen it's the same with beautiful design and high speed performance, everything is great. I really loved the product especially when you buy stuffs from Flipkart you never regret, it's 100% real go for this laptop guys it's fantabulous as well as valuable for money.",5
179,"Product is good, below I shared my points out of 5 for each section:-

Speed and Performance- 4/5

Display Quality- 5/5

Hardware quality - 3/5

Battery- 3/5

Charging speed- 3/5

Overall product quality- 3.5/5",3
180,"Review after a week
5 to 6 hours of battery life
with higher performance
Amazing boot up speed
9 on 10 for the whole product
All in one .. a perfect laptop",5
181,Nice love it,5
182,"Overall product is good as per performance still some prons and cons
in keyboard there is no back light
Edge are too thin and required dual by sound
Quit simple",3
183,Good,5
184,Excellent,5
185,Good..in satisfied with this..,5
186,This product is really good 😊,5
187,Good prodect for multitasking,5
188,"1.coming to the performance it's superb it's responding within seconds
2.almost with 100% battery we can use it for more than 4 hours
3.display and sound quality is very good
4.keyboard is not premium and backlit also not available
5.only disappointment is that while buying it's shown Microsoft is included but outlook app uninstalled automatically and to install again it's asking to pay
6.overall iam giving 4/5.
7.its is useful for btech students as it's contain 256ssd
8.overall 100% value fo...",4
189,Good product in good price,5
190,Good one in under 40000k,4
191,Nice love it,5
192,"Overall product is good as per performance still some prons and cons
in keyboard there is no back light
Edge are too thin and required dual by sound
Quit simple",3
193,Good,5
194,Excellent,5
195,Good..in satisfied with this..,5
196,This product is really good 😊,5
197,Good prodect for multitasking,5
198,"1.coming to the performance it's superb it's responding within seconds
2.almost with 100% battery we can use it for more than 4 hours
3.display and sound quality is very good
4.keyboard is not premium and backlit also not available
5.only disappointment is that while buying it's shown Microsoft is included but outlook app uninstalled automatically and to install again it's asking to pay
6.overall iam giving 4/5.
7.its is useful for btech students as it's contain 256ssd
8.overall 100% value fo...",4
199,Good product in good price,5
200,Good one in under 40000k,4
201,Good product,5
202,Happy with product.. Good quality and sound clearity is very good.. Battery life is 5-6 hours. No heating issue,4
203,Really nice product,5
204,Good laptop with fast processor in this price range but battery back up could have been better.,4
205,Good,4
206,"Good Configuration, Super Fast..One of the best around 40K laptops..",5
207,Good product,5
208,Best quality,5
209,"Good product for this price , everything is good socially speed performance but company should upgrade it's product quality which is very much poor.",4
210,Awesome laptop at this rate,5
211,"Best laptop under 45,000",5
212,Very good product,5
213,"All in one, a perfect laptop.",5
214,"Stopped working after 2months , freezing the laptop every 5mins.
HP Case Number: 5068688672 CRM:0068007000148",1
215,Very nice products,4
216,Very nice product and it can be use for online class and multitasking,5
217,Nice product,5
218,"Amazing product for the price, the SSD is nvme m.2 SSD, and Windows is installed on the SSD so boot time is amazing... Completely satisfied with the product",5
219,"Good worth to buy this laptop,but keypad letters design not good as much as expected",5
220,The Performance of this laptop is pretty good.Design also has a good finish.But display is is not as attractive as a mobile.,5
221,Nice laptop totly gud I am so happy,5
222,Nice,5
223,Go for it at this price,5
224,Value for money,5
225,Good,5
226,I just start my work with dis,4
227,Nice,4
228,Good product but it more better in this price,5
229,Worst battery performance ..hardly 1:30 hours,1
230,Every thing is ok but battery backup upto 5 hrs maximum,4
231,Operating system is not genuine.,1
232,Unable to switch on the laptop and and charger is not working .no light indication is here .,1
233,"Below are some of the issue Im facing from the date of purchase.

laptop screen got flicker for 2-3 seconds while operating
Takes time for wifi connectivity to established",1
234,"Build quality is not great , keypad is fragile .
Performance wise is good .",3
235,"Nice full speed nice camera quality
Full speed to download tlauncher
And download gta 5
And download ld player
And download bluestacks",5
236,Not good,2
237,"Performance is very good, battery life is also good, but display not up to the mark.. Overall, i think its value for money.",5
238,Excellent product,5
239,"Its good... But battery bakeup is not good, i think that. Its my opinion.",4
240,Very good product,5
241,"Super fast better than Intel i5 11 gen
Fast charging
Display is awesome bahut achhi quality hai
Sound is too good
Backlit keyboard
Open laptop power on sensor
Overall all best laptop in this price segment
Ryzen 5500u
6 cores
54 whr battery",5
242,"The performance is very good. Camera is okay not so fine but its 'kamchalau'. Battery backup is 5 hrs while connected with Internet. Gaming performance is fine. Display quality is fine.
It doesn't require to press the button to turn it on, it instantly opens when you unfold the display.
Overall I'll put it in the list of best laptops under 60k. I got it @58522 inr.",4
243,"Excellent purchase!
Value for money deal

Pros:
AMD Ryzen 5 5500u Beast processor
Build quality top notch
512 gb ssd lightning fast booting time in 5 seconds
Finger print sensor😍
Backlit keyboards
Multifunctional Type C port
Privacy Shutter in Web Cam

Cons:
------------

So far So good ill update in upcoming weeks",5
244,"Overall nice product personally I chose AMD over intel as my work flow is cpu heavy so 6-core is better than 4-core

Cons(found till now):
1. Speakers are bottom firing so voice gets muted and average sound quality
2. Display looked washed out as it have 45%NTSC first timed opened it took some time to color calibrate it
3. Keyboard keys are much harder to press(I am coming from HP laptops maybe its different there)",4
245,"Best laptop under 60k
8gb ram (upgradeable upto 16gb)
Anti glare display
Backlit keyboard
Ryzen 5 5500u proccessor
Better battery life
Multi gesture touch pad
15.6 fhd display
Fingerprint
Type c port, etc..,",5
246,"In photos this laptop looks as normal design, But in reality it looks beautiful, slim and compact design. it will surprise you damn sure...
Excellent performance. This is future laptop because of upgradability.
Boots up just in 7 sec. And very much fast working
Battery backup 6 hrs easily.",5
247,"Display could have been better.Otherwise nice looking, powerful laptop",4
248,Very good,5
249,Very best and value for money laptop,4
250,"Laptop is best understand 58k. I recently purchased it. And it complete my all need related to any laptop.I am normal business who need's good quality display, great Bettery backup, light in weight, above average speaker and good performance. This laptop provide all my needs.",5
251,"Quick answer to all your queries:

1)Performance is excellent with 8gb ddr4 RAM and 256GB ssd
2) Has a slot for RAM upgrade upto 16GB
3)No secondary slot for hdd or ssd but ssd upgrade possible
4)Fast boot of 3 to 5 seconds
5)Good battery backup of 4 hours for intensive tasks
and upto 6 hours for casual usage.
6)Display is crisp. Camera is average , which is the case for all low end laptops
7)1115G4 , tiger lake version of i3 11th gen is very efficient 10nm processor , so nearly zero heating...",5
252,"Bought this laptop for my kid who is in 10th standard. Great performance, extremely lightweight, Superb display and very few bloatware. This is the new basic hardware for office executive, programming, video editing and for netizens. Think it will last for at least 3 years. Hp after service is also good. I Did compare other laptops with i3 10th gen, AMD Rygen and 1TB HDD variants.. This one ticks all boxes.",5
253,Good laptop. Booting time is very fast. No heating issue. Go for it.,5
254,Design out dated a bit..overall worthy,4
255,Nice laptop,5
256,"Very Good performance laptop, just design doesn't look premium and plastic quality of the laptop should've been better.",4
257,Nice product it help to do many things.,4
258,Worst lappy frnds don't go through it it doesn't have network port and heating issue is there,1
259,"Good one for all students, Home use and office.
Must buy 11th generation i3 instead of 10th generation i5 or i7.

HP always good brand , this is 3rd laptop.

Flipkart delivery person only delayed. Without Mask and came with many laptops on simple bike .",5
260,It is very nice laptop with very good speed and meet all my requirements.,5
261,Excellent laptop from HP UNDER 41K,4
